struct_name,total energy[eV]
Fe4OF7,-132.50077451
Fe4OF7_var_1,-132.44584486
Fe4OF7_var_2,-132.2701855
Fe4OF7_var_3,-132.4069609
Fe4OF7_var_4,-132.46005951
Fe4OF7_var_5,-132.59083966
Fe4OF7_var_6,-132.49827394
Fe4OF7_var_7,-132.47051594
Fe4OF7_var_8,-132.35783078
Fe4OF7_var_9,-132.56482223
Fe4OF7_var_10,-132.1369009
Fe4OF7_var_11,-132.48269863
Fe4OF7_var_12,-132.42790715
Fe4OF7_var_13,-132.16947109
Fe4OF7_var_14,-132.43051435
Fe4OF7_var_15,-132.53747493
Fe4OF7_var_16,-132.43714516
Fe4OF7_var_17,-132.55225748
Fe4OF7_var_18,-132.1966492
Fe4OF7_var_19,-132.19917948
Fe4OF7_var_20,-132.55911102
Fe4OF7_var_21,-132.42514776
Fe4OF7_var_22,-132.52064946
Fe4OF7_var_23,-132.54690138
Fe4OF7_var_24,-132.44392427
Fe4OF7_var_25,-132.53362103
Fe4OF7_var_26,-132.46478464
Fe4OF7_var_27,-132.63280597
Fe4OF7_var_28,-132.54299351
Fe4OF7_var_29,-132.38631204
Fe4OF7_var_30,-132.45891738
Fe4OF7_var_31,-132.4638876
Fe4OF7_var_32,-132.31722795
Fe4OF7_var_33,-132.49522312
Fe4OF8,-277.11069098
Fe4OF8_var_1,-277.43569602
Fe4OF8_var_2,-277.26584514
Fe4OF8_var_3,-277.43026125
Fe4OF8_var_4,-276.87865784
Fe4OF8_var_5,-276.83741083
Fe4OF8_var_6,-277.03368776
Fe4OF8_var_7,-277.06857582
Fe4OF8_var_8,-276.98358947
Fe4OF8_var_9,-276.59741659
Fe4OF8_var_10,-276.94133329
Fe4OF8_var_11,-276.94707029
Fe4OF8_var_12,-276.99042291
Fe4OF8_var_13,-276.24328356
Fe4OF8_var_14,-277.07425753
Fe4OF8_var_15,-276.07600667
Fe4OF8_var_16,-276.38263278
Fe4OF8_var_17,-277.03924766
Fe4OF8_var_18,-277.06482597
Fe4OF8_var_19,-276.92742341
Fe4OF8_var_20,-276.80225641
Fe4OF8_var_21,-276.99667223
Fe4OF8_var_22,-276.89168332
Fe4OF8_var_23,-277.42969294
Fe4OF8_var_24,-277.01839324
Fe4OF8_var_25,-276.96249783
Fe4OF8_var_26,-276.80337371
Fe4OF8_var_27,-276.44868383
Fe4OF8_var_28,-277.09272164
Fe4OF8_var_29,-276.34432143
Fe4OF8_var_30,-276.97626751
Fe4OF8_var_31,-276.78532442
Fe4OF8_var_32,-277.10561343
Fe4OF8_var_33,-276.92289334
Fe6OF11,-189.29061132
Fe6OF11_var_1,-189.04152106
Fe6OF11_var_2,-189.28685547
Fe6OF11_var_3,-188.9360818
Fe6OF11_var_4,-189.26371266
Fe6OF11_var_5,-188.79953987
Fe6OF11_var_6,-189.23151711
Fe6OF11_var_7,-188.55348962
Fe6OF11_var_8,-189.56116395
Fe6OF11_var_9,-189.20795017
Fe6OF11_var_10,-188.55891418
Fe6OF11_var_11,-189.34410477
Fe6OF11_var_12,-189.13309084
Fe6OF11_var_13,-188.75769323
Fe6OF11_var_14,-188.83519409
Fe6OF11_var_15,-189.24668281
Fe6OF11_var_16,-189.26619834
Fe6OF11_var_17,-189.54803684
Fe6OF11_var_18,-189.12201197
Fe6OF11_var_19,-189.2482835
Fe6OF11_var_20,-189.31362948
Fe6OF11_var_21,-189.25574382
Fe6OF11_var_22,-188.6323772
Fe6OF11_var_23,-189.23998711
Fe6OF11_var_24,-188.8852258
Fe6OF11_var_25,-188.55382928
Fe6OF11_var_26,-188.92920763
Fe6OF11_var_27,-189.3309304
Fe6OF11_var_28,-189.68586551
Fe6OF11_var_29,-189.21693445
Fe6OF11_var_30,-189.03923024
Fe6OF11_var_31,-189.08129737
Fe6OF11_var_32,-189.20804972
Fe6OF11_var_33,-189.07232471
